"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.897625323E-3,4.263134766E0,7.946525116E0,6.858288116E0,1.132950552E1
1.290862542E-2,3.830684052E0,7.532037048E0,7.890691223E0,1.156151938E1
2.291862527E-2,3.810775452E0,7.525450745E0,8.519982605E0,1.198935036E1
3.292962536E-2,3.130589905E0,7.402556305E0,8.598269806E0,1.176982059E1
4.293962521E-2,1.961970062E0,7.201374664E0,8.993747406E0,1.168745550E1
5.295062531E-2,7.729925537E-1,6.857988739E0,9.748777313E0,1.194437885E1
6.296062516E-2,-3.370989990E-1,6.682403870E0,1.006387207E1,1.208510150E1
7.297162525E-2,-6.780899048E-2,6.518045654E0,9.638756104E0,1.163594158E1
8.298162511E-2,9.101074219E-1,6.081852722E0,9.683363342E0,1.147103978E1
9.299262520E-2,1.258283386E0,5.526507568E0,9.692793732E0,1.122834865E1
1.030026251E-1,1.555565186E0,5.228776703E0,8.945547638E0,1.047772453E1
1.130126254E-1,2.016456757E0,4.822072449E0,7.238347778E0,8.928166615E0
1.230236250E-1,2.605631561E0,4.661606140E0,6.971602478E0,8.781977497E0
1.330336253E-1,2.722837830E0,4.411476288E0,8.936416626E0,1.033123957E1
1.430446254E-1,3.458857269E0,3.717369690E0,1.077100159E1,1.190785481E1
1.530546253E-1,2.969225464E0,3.032094727E0,1.086291046E1,1.166244923E1
1.630656254E-1,2.190844116E0,1.437460785E0,1.078626984E1,1.109998687E1
1.730756252E-1,1.850901031E0,1.134490814E0,1.161105469E1,1.181226037E1
1.830866253E-1,1.353784790E0,1.928140411E0,1.166209854E1,1.189768890E1
1.930966252E-1,2.833607483E-1,4.012855225E0,9.950108643E0,1.073256551E1
2.031066250E-1,-3.044668579E-1,5.581143951E0,8.540939026E0,1.020732616E1
2.131176251E-1,1.215173035E0,6.953041077E0,7.669301605E0,1.042303280E1
2.231276254E-1,1.691632233E0,5.418582001E0,6.693929901E0,8.776750425E0
2.331386250E-1,1.721420288E0,4.312831421E0,7.394922180E0,8.732048827E0
2.431486254E-1,8.276289368E-1,4.385729828E0,8.574020233E0,9.666096355E0
2.531596250E-1,-3.748205566E-1,4.434678040E0,8.942553864E0,9.988800197E0
2.631696253E-1,-1.255888367E0,3.975283356E0,8.473728790E0,9.443739353E0
2.731803753E-1,-1.935475159E0,3.424578552E0,8.014483795E0,8.927807841E0
2.831903752E-1,-2.541115723E0,2.618055725E0,8.008047180E0,8.800017303E0
2.932003750E-1,-3.055446167E0,2.222278748E0,7.943231964E0,8.795976816E0
3.032113751E-1,-3.750899963E0,2.381846924E0,7.322323151E0,8.564978787E0
3.132213750E-1,-3.880530396E0,2.821033630E0,5.967191162E0,7.656638770E0
3.232323751E-1,-2.824027405E0,3.187321930E0,4.324956207E0,6.069546776E0
3.332423754E-1,-1.721869354E0,4.186494141E0,4.129013672E0,6.127015682E0
3.432533750E-1,-1.457369385E0,4.367767181E0,4.448599091E0,6.402448715E0
3.532633753E-1,-2.002984772E0,3.612886963E0,4.627028046E0,6.202764604E0
3.632743750E-1,-2.242786102E0,3.298840027E0,5.207371216E0,6.559660815E0
3.732843753E-1,-1.967059479E0,3.696263580E0,5.830974426E0,7.178575779E0
3.832943751E-1,-1.454824677E0,4.098626862E0,6.423592072E0,7.757434633E0
3.933053752E-1,-5.134323120E-1,4.079766083E0,6.632407837E0,7.803649002E0
4.033153751E-1,2.364782410E0,5.008734283E0,5.911207581E0,8.100740091E0
4.133263752E-1,2.541864166E0,5.805078278E0,6.291267242E0,8.929728482E0
4.233363750E-1,1.526525574E0,5.463638306E0,5.780080261E0,8.098824093E0
4.333473751E-1,-8.747808838E-1,3.940256195E0,5.649701385E0,6.943341143E0
4.433573750E-1,-2.052831116E0,4.133504333E0,5.861810303E0,7.460616174E0
4.533683751E-1,-2.162103882E0,5.085075531E0,6.007756805E0,8.162464590E0
4.633783754E-1,-1.810934143E0,5.811215515E0,6.068680115E0,8.595265358E0
4.733883752E-1,-1.380429382E0,5.912554779E0,5.869893494E0,8.445089634E0
4.833993753E-1,-1.162931671E0,5.974825287E0,4.983287201E0,7.866644685E0
4.934093752E-1,-1.256636810E0,5.987548828E0,4.517156525E0,7.604905003E0
5.034203753E-1,-1.490001526E0,5.919290771E0,5.011728058E0,7.897817794E0
5.134303751E-1,-1.774859161E0,5.938151550E0,5.526058502E0,8.303558963E0
5.234413752E-1,-2.140249329E0,5.822591858E0,6.007607117E0,8.635657844E0
5.334513751E-1,-2.761158142E0,5.463638306E0,6.736441498E0,9.102471196E0
5.434623752E-1,-2.944377136E0,5.218747559E0,7.291187897E0,9.437483973E0
5.534723750E-1,-3.137325897E0,4.848717041E0,7.322173462E0,9.325614990E0
5.634823753E-1,-3.422033844E0,4.700076141E0,7.212152252E0,9.263701823E0
5.734933750E-1,-3.656446381E0,4.981041870E0,7.568411407E0,9.770426269E0
5.835033753E-1,-3.427871704E0,5.563480682E0,7.857759705E0,1.021993196E1
5.935143754E-1,-3.385060730E0,5.768254852E0,7.555089111E0,1.009013239E1
6.035243752E-1,-3.300785980E0,5.881718903E0,7.053631897E0,9.759279086E0
6.135353753E-1,-2.887645111E0,5.896687775E0,6.865772552E0,9.499908091E0
6.235453752E-1,-3.164569244E0,5.555397491E0,7.654033356E0,9.973021929E0
6.335563753E-1,-3.996090088E0,5.510790253E0,9.710157623E0,1.185852884E1
6.435663751E-1,-4.847818909E0,4.954546967E0,1.083791245E1,1.286503906E1
6.535763750E-1,-5.270689545E0,4.480033722E0,1.049063461E1,1.256599718E1
6.635873751E-1,-6.366710358E0,5.476212158E0,9.677824860E0,1.281343804E1
6.735973754E-1,-7.520061951E0,6.196214905E0,8.260721741E0,1.277434674E1
6.836083750E-1,-8.446335754E0,5.940396881E0,7.062313843E0,1.251020302E1
6.936183753E-1,-8.869655457E0,6.014043732E0,6.839427338E0,1.271287836E1
7.036293750E-1,-9.051976318E0,5.606141968E0,7.376809845E0,1.295316280E1
7.136393753E-1,-8.149652710E0,5.263354797E0,7.763306122E0,1.242532354E1
7.236503754E-1,-6.950047302E0,5.308261414E0,8.130941620E0,1.194123144E1
7.336603752E-1,-6.435716858E0,4.306993561E0,8.346643066E0,1.138574088E1
7.436703751E-1,-5.722001038E0,3.710783386E0,7.377258911E0,1.004664911E1
7.536813752E-1,-5.157824249E0,3.579506378E0,6.462211761E0,9.009783446E0
7.636913750E-1,-4.755011902E0,3.272794189E0,5.550308075E0,8.007948534E0
7.737023751E-1,-4.419110413E0,3.025209045E0,4.567601624E0,7.038708063E0
7.837123750E-1,-4.180506592E0,3.006048889E0,3.575764160E0,6.268895805E0
7.937233751E-1,-3.859124908E0,2.610421600E0,3.107388153E0,5.600268487E0
8.037333754E-1,-3.595822449E0,1.861977997E0,3.317251740E0,5.234602205E0
8.137443750E-1,-3.236569519E0,1.102307739E0,4.087849274E0,5.329256636E0
8.237543753E-1,-2.644101562E0,1.278341675E0,4.306394806E0,5.212529783E0
8.337643752E-1,-2.450254669E0,7.177574158E-1,3.969744873E0,4.719936229E0
8.437753753E-1,-2.422711945E0,3.921844482E-2,3.863166504E0,4.560167397E0
8.537853751E-1,-2.646346893E0,-4.146377563E-1,3.238216095E0,4.202513513E0
8.637963752E-1,-3.372786255E0,-6.336323547E-1,2.931054840E0,4.513120822E0
8.738063751E-1,-3.931125183E0,-6.134243774E-1,2.378553772E0,4.635466829E0
8.838173752E-1,-4.255949707E0,-5.333409119E-1,1.727707214E0,4.624125069E0
8.938273750E-1,-4.668342133E0,-5.587879944E-1,1.803150330E0,5.035574784E0
9.038383751E-1,-5.396877136E0,-1.259480896E0,3.236419830E0,6.417708958E0
9.138483750E-1,-5.651497650E0,-1.485660553E0,2.708018646E0,6.440495164E0
9.238583753E-1,-6.312523041E0,-9.696835327E-1,1.936522980E0,6.673706208E0
9.338693754E-1,-7.297774200E0,-8.812174988E-1,2.225422211E0,7.680270606E0
9.438793752E-1,-9.055718536E0,-1.207987976E0,2.529739380E0,9.479707511E0
9.538903753E-1,-1.066816544E1,-1.005159760E0,3.210074615E0,1.118591431E1
9.639003752E-1,-1.203676941E1,-5.153782654E-1,3.971690826E0,1.268557293E1
9.739113753E-1,-1.310195435E1,-1.143621826E-1,4.494104462E0,1.385176022E1
9.839213751E-1,-1.340896591E1,1.987866211E-1,4.683011627E0,1.420459365E1
9.939323752E-1,-1.309925995E1,3.755690002E-1,4.394411774E0,1.382181313E1
1.003942375E0,-1.284284317E1,4.445755005E-2,3.609893188E0,1.334061190E1
1.013952375E0,-1.287682251E1,-4.282594299E-1,2.878065033E0,1.320148561E1
1.023963375E0,-1.300435730E1,-9.095086670E-1,2.446512451E0,1.326370755E1
1.033973375E0,-1.278371613E1,-1.099313965E0,2.452500000E0,1.306317899E1
1.043984375E0,-1.285796173E1,-1.402583313E0,2.520608368E0,1.317755237E1
1.053994375E0,-1.315748886E1,-1.949396210E0,2.540367279E0,1.354153332E1
1.064005375E0,-1.342228821E1,-2.407743073E0,2.632276154E0,1.388826574E1
1.074015375E0,-1.383093842E1,-2.769091644E0,2.700234833E0,1.436154567E1
1.084026375E0,-1.453971451E1,-3.109483795E0,2.768642578E0,1.512407251E1
1.094036375E0,-1.509251495E1,-3.447480927E0,3.024310913E0,1.577388947E1
1.104046375E0,-1.537782166E1,-3.490740967E0,3.210972748E0,1.609263861E1
1.114057375E0,-1.557346481E1,-3.280877380E0,2.898123322E0,1.617702326E1
1.124067375E0,-1.570099960E1,-3.176694031E0,2.212698669E0,1.617123399E1
1.134078375E0,-1.580473389E1,-3.179987183E0,1.511107635E0,1.619213939E1
