"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.213749103E-4,-3.543581085E0,6.378835144E0,7.232958984E0,1.027434671E1
9.788624942E-3,-3.379971313E0,6.259982300E0,7.412136383E0,1.027381868E1
1.979862479E-2,-3.160976715E0,6.317163391E0,7.283853149E0,1.014656808E1
2.980862511E-2,-2.772534485E0,6.369105377E0,6.841223602E0,9.749604666E0
3.981862497E-2,-2.805166626E0,6.465953979E0,6.470145264E0,9.567669538E0
4.982862482E-2,-2.815944214E0,6.560407562E0,5.999374237E0,9.325287150E0
5.983862514E-2,-3.006198578E0,6.632108459E0,5.874833221E0,9.356054611E0
6.984762475E-2,-3.267106018E0,6.689888306E0,6.042484589E0,9.588545629E0
7.985762507E-2,-3.551963654E0,6.674170990E0,6.288273468E0,9.833788050E0
8.986762492E-2,-3.871399384E0,6.516997833E0,6.722670135E0,1.013179588E1
9.987712512E-2,-4.541256409E0,6.208040314E0,7.408693542E0,1.067949036E1
1.098871250E-1,-5.204826508E0,6.237678680E0,8.162525940E0,1.151632250E1
1.198971248E-1,-6.029611359E0,6.460415497E0,7.801476746E0,1.178796933E1
1.299071251E-1,-5.631439362E0,6.508615265E0,6.988666992E0,1.108677808E1
1.399171250E-1,-5.287454681E0,6.500831451E0,7.049739990E0,1.095065388E1
1.499271248E-1,-5.022206268E0,6.115083618E0,7.169341278E0,1.067783957E1
1.599371247E-1,-4.631967773E0,5.707481232E0,6.714736633E0,9.955810139E0
1.699471250E-1,-4.417463837E0,5.563330994E0,6.780899048E0,9.820653257E0
1.799571249E-1,-4.093836823E0,5.084327087E0,7.063661041E0,9.617961799E0
1.899671247E-1,-4.342170410E0,4.798122253E0,7.789801025E0,1.012706379E1
1.999771250E-1,-4.337380371E0,4.770429840E0,8.139024811E0,1.038333252E1
2.099871249E-1,-4.420008545E0,4.866230621E0,8.357121277E0,1.063288070E1
2.199961250E-1,-4.440216522E0,4.631668396E0,8.073461151E0,1.031254817E1
2.300061248E-1,-4.216431885E0,4.407883759E0,7.063361664E0,9.332674593E0
2.400161251E-1,-4.678970032E0,4.026027832E0,6.415059814E0,8.902508247E0
2.500261250E-1,-4.548142090E0,3.906426544E0,6.432723083E0,8.793502777E0
2.600361248E-1,-4.259542236E0,3.601959686E0,6.166426849E0,8.315204972E0
2.700461247E-1,-4.120032349E0,3.313659210E0,5.340594177E0,7.515114775E0
2.800561250E-1,-4.202810211E0,3.274740143E0,5.046605530E0,7.338648653E0
2.900661249E-1,-4.726421356E0,3.565435638E0,5.018613739E0,7.761306204E0
3.000761247E-1,-5.305417328E0,3.776496735E0,4.102967834E0,7.696994586E0
3.100861250E-1,-6.260880432E0,3.300336914E0,5.067711639E0,8.704742891E0
3.200961249E-1,-5.710924072E0,3.233126678E0,7.014413452E0,9.605714859E0
3.301061247E-1,-4.837191010E0,2.977608032E0,6.581813049E0,8.693953616E0
3.401161251E-1,-4.546645203E0,1.421294403E0,7.071744232E0,8.526524900E0
3.501261249E-1,-4.733606415E0,6.935078430E-1,6.638694763E0,8.182924354E0
3.601361248E-1,-5.085075531E0,9.508227539E-1,7.066505127E0,8.757713844E0
3.701451248E-1,-4.486170959E0,9.970765686E-1,8.561596069E0,9.717037553E0
3.801551247E-1,-4.167633362E0,4.120930481E-1,7.430099030E0,8.529089055E0
3.901651250E-1,-3.840563507E0,2.348616028E-1,7.236850891E0,8.196163666E0
4.001751249E-1,-3.598965912E0,5.084925842E-1,6.341712341E0,7.309475752E0
4.101851247E-1,-3.095562744E0,5.065466309E-1,4.477788391E0,5.467146154E0
4.201951250E-1,-2.829416199E0,2.415975952E-1,3.962410126E0,4.874900966E0
