"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.349916682E-3,-4.029620361E0,5.826783142E0,6.793323212E0,9.815216875E0
1.136091677E-2,-3.305126953E0,5.427413635E0,6.863976288E0,9.353868367E0
2.137291664E-2,-3.059936829E0,4.663402405E0,6.963668976E0,8.922063718E0
3.138383338E-2,-2.987637177E0,4.390819244E0,6.974147186E0,8.766070871E0
4.139483348E-2,-2.976859589E0,4.369264069E0,7.125632172E0,8.872812145E0
5.140583357E-2,-2.877466278E0,4.481231232E0,7.399562531E0,9.116730290E0
6.141683320E-2,-2.590513000E0,4.541406097E0,7.613018646E0,9.235430681E0
7.142883353E-2,-2.477348328E0,4.571044464E0,7.585326233E0,9.196133769E0
8.143983362E-2,-2.612816620E0,4.713248749E0,7.474406891E0,9.214569053E0
9.145083325E-2,-3.054248657E0,4.761747894E0,7.508086853E0,9.400747101E0
1.014618333E-1,-3.177891541E0,4.630919952E0,7.414830780E0,9.301834752E0
1.114728334E-1,-3.203638000E0,4.540807343E0,7.607330475E0,9.420918464E0
1.214848333E-1,-3.095413055E0,4.527784424E0,8.084687805E0,9.769574744E0
1.314958334E-1,-2.775677948E0,4.319268036E0,8.584648132E0,1.000283200E1
1.415068335E-1,-2.267784119E0,4.227658539E0,9.244925079E0,1.041559318E1
1.515178336E-1,-2.012415161E0,4.276606750E0,9.580826569E0,1.068323068E1
1.615288332E-1,-2.454895020E0,4.211043091E0,9.798024902E0,1.094352253E1
1.715408335E-1,-1.970502319E0,4.478536835E0,9.642648010E0,1.081299368E1
1.815518336E-1,-1.746867371E0,4.295018463E0,9.409582672E0,1.048994639E1
1.915628333E-1,-1.621727600E0,4.052522736E0,9.348958740E0,1.031775026E1
2.015738334E-1,-1.628313904E0,3.684587860E0,9.502239990E0,1.032086037E1
2.115848335E-1,-9.741741943E-1,3.844605103E0,9.848170624E0,1.061680123E1
2.215968333E-1,-5.007087708E-1,3.514242096E0,1.012269974E1,1.072705257E1
2.316078334E-1,3.555107117E-1,2.975512390E0,1.046249313E1,1.088318999E1
2.416188335E-1,1.651066589E-1,2.681823120E0,1.124686203E1,1.156336201E1
2.516298336E-1,1.335223389E-1,2.834804993E0,1.097308136E1,1.133412820E1
2.616408332E-1,1.354682922E0,3.074606323E0,1.054646851E1,1.106871121E1
2.716528336E-1,-4.508624268E-1,3.027304688E0,9.363628235E0,9.851161572E0
2.816638332E-1,-5.517975311E0,4.137246552E0,7.904911652E0,1.049059049E1
2.916748333E-1,-2.842888184E0,4.618645477E0,8.438402252E0,1.003097861E1
3.016858334E-1,1.673519897E-1,5.003046112E0,9.333391113E0,1.059106542E1
