"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.028916962E-3,-3.285368042E0,1.321302338E0,9.311686249E0,9.962278044E0
1.203891682E-2,-1.801054688E0,1.289568329E0,9.495054932E0,9.750018083E0
2.204991691E-2,-1.150657196E0,9.051676941E-1,1.008557693E1,1.019128072E1
3.205991676E-2,-5.381309509E-1,7.418572998E-1,1.032268387E1,1.036328806E1
4.207091685E-2,-1.282832336E-1,8.681945801E-1,1.076291840E1,1.079864023E1
5.208191695E-2,-3.641926575E-1,9.454339600E-1,1.108025848E1,1.112648236E1
6.209191680E-2,-6.777905273E-1,1.124162292E0,1.093131821E1,1.100985280E1
7.210291689E-2,-7.125183105E-1,1.538949738E0,1.078088104E1,1.091345246E1
8.211291675E-2,-3.555107117E-1,1.999691620E0,1.049632278E1,1.069102177E1
9.212391684E-2,-2.128573608E-1,2.196083221E0,1.018706589E1,1.042326250E1
1.021339167E-1,-1.902543640E-1,2.733166351E0,9.929152222E0,1.030021645E1
1.121449168E-1,-2.186952209E-1,3.084635468E0,9.667496338E0,1.015003887E1
1.221559169E-1,-3.851490784E-1,2.919229431E0,9.310488739E0,9.765011052E0
1.321659167E-1,-3.155438232E-1,2.816992035E0,9.214538269E0,9.640680865E0
1.421769168E-1,2.439926147E-2,2.833906860E0,9.770931244E0,1.017362869E1
1.521869167E-1,2.779719543E-1,2.735860748E0,1.009201355E1,1.045996845E1
1.621979168E-1,1.987866211E-1,2.611020355E0,1.008677444E1,1.042113056E1
1.722079166E-1,-6.691085815E-2,2.563569031E0,9.853709106E0,1.018194217E1
1.822189167E-1,-3.782633972E-1,2.729424133E0,9.673483887E0,1.005828662E1
1.922289166E-1,-7.217990112E-1,3.012784882E0,9.529034271E0,1.001999804E1
2.022399167E-1,-9.153465271E-1,3.232078857E0,9.280251617E0,9.869511796E0
2.122509168E-1,-1.128203888E0,3.216810608E0,8.969946899E0,9.595866916E0
2.222609166E-1,-1.443448334E0,3.272943878E0,8.472381592E0,9.196572979E0
